step,cash,shares,total_assets,rewards
0,10000.0,0.0,10000.0,-1.3233868532188353
1,8675.289759928703,93.0,9998.676613146781,-18.545623550415257
2,8983.72617010784,71.0,9980.130989596366,-5.910148177144947
3,3436.857810031891,466.0,9974.220841419221,-160.38666447448668
4,1367.7616976966856,617.0,9813.834176944734,-52.78366188907785
5,1653.1568344831464,596.0,9761.050515055656,84.33111279106015
6,3658.4614141473767,450.0,9845.381627846717,-113.33162792587245
7,251.94294616413163,702.0,9732.049999920844,124.8672910308851
8,7474.405179287911,174.0,9856.91729095173,-26.685188467025
9,4135.7024355840695,420.0,9830.232102484704,-42.2188735198979
10,5749.494514060021,300.0,9788.013228964806,-103.2711621637336
11,2477.256832540513,549.0,9684.742066801073,-175.76059769248968
12,3769.83339781952,448.0,9508.981469108583,146.79010612487764
13,8498.675338050843,88.0,9655.77157523346,-15.109494318008728
14,8900.70545593071,57.0,9640.662080915452,7.908860657691548
15,9543.51705515957,8.0,9648.570941573144,0.19917630767849914
16,9622.437102438927,2.0,9648.770117880822,0.3751239776611328
17,9622.437102438927,2.0,9649.145241858483,-2.222137329101315
18,7974.453377966882,128.0,9646.923104529382,-1.7884573764804372
19,9449.178693554879,15.0,9645.134647152901,0.3684288368222042
20,7917.574152382851,131.0,9645.503075989724,44.47849907684213
21,8025.71113877964,123.0,9689.981575066566,44.68390125274709
22,8581.09350156498,83.0,9734.665476319313,-11.499432249067468
23,186.8360574979797,688.0,9723.166044070245,-50.66494777774642
24,90.2274365863815,695.0,9672.501096292499,13.719819198606274
25,34.94315021705778,699.0,9686.220915491105,190.16419750785644
26,5565.690773246765,306.0,9876.385112998962,15.387236389162354
27,5763.427195579529,292.0,9891.772349388124,-25.666256675720433
28,1821.6376669616702,572.0,9866.106092712404,-158.54674013900694
29,2317.489307102204,536.0,9707.559352573397,-155.0267479190843
30,1276.9378990726477,613.0,9552.532604654312,-263.12908892059204
31,7340.363170541765,149.0,9289.40351573372,3.5146344985951146
32,7824.861265466691,112.0,9292.918150232315,6.14423095703205
33,9193.664431970597,8.0,9299.062381189347,-6.729211505889907
34,3500.5669686641713,444.0,9292.333169683458,-66.6910718440995
35,8980.415411361697,19.0,9225.642097839358,1.5621983337405254
36,9162.211963714602,5.0,9227.204296173099,0.09135818290633324
37,9188.229813634875,3.0,9227.295654356005,0.7969121932983398
38,9188.229813634875,3.0,9228.092566549303,-1.157625177382215
39,8154.000188907626,81.0,9226.934941371921,-11.518098044396538
40,8481.371364506724,56.0,9215.416843327524,-19.36233218669804
41,6110.170101236346,241.0,9196.054511140826,44.15856053924472
42,8915.228545045855,25.0,9240.213071680071,-17.95777673149132
43,9001.134121089937,18.0,9222.25529494858,-6.008847455977957
44,9108.636479307177,9.0,9216.246447492602,-0.4767659235003521
45,9168.12845766163,4.0,9215.769681569102,-6.849274978636458
46,1318.0188105211291,649.0,9208.920406590465,145.68923074436134
47,3285.4347468166384,490.0,9354.609637334826,-12.585832656859566
48,710.8106317653692,698.0,9342.023804677967,61.584188972472475
49,137.32219653129937,744.0,9403.60799365044,200.08088781356855
50,86.3765836429632,748.0,9603.688881464008,294.6692785453797
51,20.72244452476862,753.0,9898.358160009388,283.4823326454152
52,7265.017342020038,216.0,10181.840492654803,-24.08850640678247
53,8362.503594142918,134.0,10157.75198624802,25.148072983742168
54,8674.700833806042,111.0,10182.900059231762,14.809784368515466
55,8962.604004824643,90.0,10197.709843600278,28.43995317077679
56,9973.238309191709,18.0,10226.149796771055,-4.328639550209118
57,6766.755968812948,247.0,10221.821157220846,35.97940495491093
58,3722.3036635246326,462.0,10257.800562175757,-60.08825390911079
59,648.2650874643373,681.0,10197.712308266646,-79.69390053749157
60,397.7063130407381,699.0,10118.018407729154,29.46809000969006
61,8905.013901570326,89.0,10147.486497738844,-30.653747707367074
62,7977.495287606245,157.0,10116.832750031477,-74.25493120670217
63,9884.59120459748,12.0,10042.577818824775,-5.667184580801404
64,2098.7429334764556,595.0,10036.910634243974,-26.026267097473465
65,181.49285141468818,739.0,10010.8843671465,219.28839273834274
66,86.21305834675606,746.0,10230.172759884843,-74.90049273204932
67,72.70214443398292,747.0,10155.272267152794,38.53962085723833
68,289.274143487938,731.0,10193.811888010032,16.301549634936237
69,1713.0715942306597,626.0,10210.113437644968,52.46313359260421
70,7092.074442636498,232.0,10262.576571237572,-30.218976898193432
71,3293.7032974643794,512.0,10232.357594339379,52.71310798645027
72,832.477516901025,692.0,10285.07070232583,136.93812946319667
73,4738.033802797327,410.0,10422.008831789026,-27.758933589935623
74,260.23517918969264,734.0,10394.24989819909,22.281228834153808
75,232.5335989570724,736.0,10416.531127033244,-39.84316317462799
76,8211.081820860874,157.0,10376.687963858616,-21.29630451965386
77,9262.213558753025,80.0,10355.391659338962,-24.179683308600943
78,1406.8513145237084,663.0,10331.211976030361,67.68641250324254
79,904.5028463888284,700.0,10398.898388533604,-71.94221965217548
80,10084.428220501912,18.0,10326.956168881428,-0.8069145612716966
81,10178.373376367581,11.0,10326.149254320157,-7.89044268512589
82,4108.794360798848,468.0,10318.25881163503,51.206626839637465
83,1148.0117765560276,689.0,10369.465438474668,-131.2512205410003
84,7386.497833045973,216.0,10238.214217933668,12.400349311828904
85,7916.457569564833,176.0,10250.614567245497,-1.7731124114998238
86,8446.135110229505,136.0,10248.841454833997,-45.00484293937552
87,48.816632417692745,782.0,10203.836611894621,-147.92300167465146
88,10.387696981443966,785.0,10055.91361021997,-81.44374012947264
89,961.5089592933792,710.0,9974.469870090497,-245.5776907520285
90,7640.416644899382,169.0,9728.892179338469,-1.5359889831543114
91,5635.99648729135,331.0,9727.356190355315,-50.968253820419704
92,999.7523660087727,710.0,9676.387936534895,-93.78744243907931
93,721.4293887109898,733.0,9582.600494095816,58.243677680016845
94,4357.616749061599,434.0,9640.844171775832,168.0847373676297
95,5349.094476541533,355.0,9808.928909143462,99.34634446716518
96,3664.388473825469,486.0,9908.275253610627,32.82369541072694
97,5303.386911934867,359.0,9941.098949021354,-39.17435016632044
98,7223.662437600151,209.0,9901.924598855034,-17.423054889679406
99,9438.535195317283,35.0,9884.501543965354,7.766008333206628
100,9516.253425520912,29.0,9892.267552298561,0.0
