step,cash,shares,total_assets,rewards
0,10000.0,0,10000.0,-0.14229966163657082
1,9857.55803870201,10,9999.857700338363,-2.1012933731071826
2,9997.756406965256,0,9997.756406965256,0.0
3,9997.756406965256,0,9997.756406965256,0.0
4,9997.756406965256,0,9997.756406965256,-0.13603848457387357
5,9861.581883907318,10,9997.620368480682,1.311144170760599
6,9998.931512651443,0,9998.931512651443,0.0
7,9998.931512651443,0,9998.931512651443,0.0
8,9998.931512651443,0,9998.931512651443,0.0
9,9998.931512651443,0,9998.931512651443,-0.13461729049595306
10,9864.17960486412,10,9998.796895360947,-3.333406448364258
11,9864.17960486412,10,9995.463488912583,-3.1779003143310547
12,9864.17960486412,10,9992.285588598252,3.250736827851142
13,9995.536325426103,0,9995.536325426103,-0.1298169517522183
14,9865.589556722642,10,9995.40650847435,1.3690889072422578
15,9996.775597381593,0,9996.775597381593,0.0
16,9996.775597381593,0,9996.775597381593,-0.13354069709748728
17,9863.101359586717,10,9996.642056684495,-3.0096614074700483
18,9732.309000501635,20,9993.632395277025,-0.17942728042544331
19,9601.541060800555,30,9993.4529679966,3.6651036357870908
20,9733.312129096987,20,9997.118071632387,6.6718299961084995
21,9597.870283021928,30,10003.789901628495,11.034107208251953
22,9597.870283021928,30,10014.824008836747,-1.2639928245553165
23,9459.1222260952,40,10013.560016012192,-3.0778997707366216
24,9596.858792800904,30,10010.482116241456,0.5946063995361328
25,9596.858792800904,30,10011.076722640992,8.25828992843708
26,9737.59028448105,20,10019.335012569429,0.8772569274897251
27,9878.830586147309,10,10020.212269496918,-0.7441234588623047
28,9878.830586147309,10,10019.468146038056,-2.900993185043262
29,10016.567152853013,0,10016.567152853013,0.0
30,10016.567152853013,0,10016.567152853013,0.0
31,10016.567152853013,0,10016.567152853013,0.0
32,10016.567152853013,0,10016.567152853013,-0.1317474365241651
33,9884.687968893051,10,10016.435405416489,-1.3022518157958984
34,9884.687968893051,10,10015.133153600693,-1.5075742912285932
35,10013.625579309464,0,10013.625579309464,-0.1299846649162646
36,9883.510929727556,10,10013.495594644548,0.2348041534423828
37,9883.510929727556,10,10013.73039879799,2.5234981346129643
38,9750.502210836412,20,10016.253896932603,-0.9619860744478501
39,9617.908669204713,30,10015.291910858155,-4.275671834946479
40,9486.698039865494,40,10011.016239023209,-12.266259107589576
41,9614.61499113083,30,9998.74997991562,5.716449365616427
42,9744.478807973863,20,10004.466429281236,-14.420273227691723
43,9867.20105946541,10,9990.046156053544,-3.39803190231396
44,9747.514861516953,20,9986.64812415123,-0.9271430969238281
45,9747.514861516953,20,9985.720981054306,4.843376464843459
46,9625.807735204697,30,9990.56435751915,6.82551383972168
47,9625.807735204697,30,9997.389871358871,-0.6130886077880859
48,9625.807735204697,30,9996.776782751083,2.6715087890625
49,9625.807735204697,30,9999.448291540146,7.942593145369756
50,9498.443702983855,40,10007.390884685516,15.761222839355469
51,9498.443702983855,40,10023.152107524871,15.308992652893721
52,9363.270556049347,50,10038.461100177765,-5.455714864730908
53,9229.162821683884,60,10033.005385313034,11.264387121200343
54,9364.900751972198,50,10044.269772434234,6.66365598678567
55,9227.52953590393,60,10050.93342842102,19.493893032073174
56,9367.895411510466,50,10070.427321453093,-3.1260013580322266
57,9367.895411510466,50,10067.30132009506,7.757489604950024
58,9226.292978706359,60,10075.05880970001,-7.404842376708984
59,9226.292978706359,60,10067.653967323302,-7.138495683670044
60,9087.093659582137,70,10060.515471639632,3.6642217159278516
61,8947.350393428802,80,10064.17969335556,-26.721038818359375
62,8947.350393428802,80,10037.4586545372,-36.995821771621195
63,9078.874249773025,70,10000.46283276558,12.18008486747749
64,8945.326251983643,80,10012.642917633057,-3.374815387725903
65,9078.202600078583,70,10009.26810224533,20.780582427978516
66,9078.202600078583,70,10030.04868467331,-7.161904020309521
67,8943.093460950851,80,10022.886780653,4.015126514434087
68,8807.464975557326,90,10026.901907167434,2.1825027465820312
69,8807.464975557326,90,10029.084409914016,8.316736221313477
70,8807.464975557326,90,10037.40114613533,-10.386365547179594
71,8671.808863229751,100,10027.01478058815,10.639158668518576
72,8535.074097642899,110,10037.653939256668,22.250435066223872
73,8673.569001398087,100,10059.904374322892,-5.817482252121408
74,8811.496531429291,90,10054.08689207077,2.735424041748047
75,8811.496531429291,90,10056.822316112519,-4.033448324204073
76,8949.29529173851,80,10052.788867788315,-10.452122726439484
77,9085.80590704918,70,10042.336745061875,-14.425253248215085
78,8951.065559806824,80,10027.91149181366,8.092210016249737
79,9086.564147615432,70,10036.00370182991,-6.41004826545759
80,8951.6916607666,80,10029.593653564452,-3.302676668166896
81,9085.899026288986,70,10026.290976896285,-11.758581132888139
82,9218.447209758759,60,10014.532395763397,6.944160461425781
83,9218.447209758759,60,10021.476556224823,-10.885906219482422
84,9218.447209758759,60,10010.59065000534,3.4592773151398433
85,9085.692030515671,70,10014.04992732048,-0.4943370819091797
86,9085.692030515671,70,10013.555590238571,-18.976285600661868
87,8955.702580394745,80,9994.57930463791,-15.128860473632812
88,8955.702580394745,80,9979.450444164277,-8.329915523529053
89,9082.518748703003,70,9971.120528640748,-23.67632043838421
90,8958.816736278535,80,9947.444208202363,0.09718864440947073
91,8835.087096920015,90,9947.541396846773,-12.59908676147461
92,8835.087096920015,90,9934.942310085298,-11.974193010330055
93,8714.077106790544,100,9922.968117074968,8.442497253417969
94,8714.077106790544,100,9931.410614328386,38.832252788542974
95,8839.58061659813,90,9970.24286711693,25.613079071044922
96,8839.58061659813,90,9995.855946187974,6.25309998512239
97,8968.635611724854,80,10002.109046173096,-8.429461822510348
98,8840.360950317383,90,9993.679584350586,-6.548023223876953
99,8840.360950317383,90,9987.13156112671,20.169782638549805
100,8840.360950317383,90,10007.301343765259,0.0
